"gene","moduleColor","kME","abs_kME"
"chek1","brown",0.830472199327218,0.830472199327218
"ccne1","brown",0.818332325257066,0.818332325257066
"aurka","brown",0.784640481980821,0.784640481980821
"cdc25a","brown",0.776806862985356,0.776806862985356
"e2f2","brown",0.755914557744107,0.755914557744107
"e2f3","brown",0.71445421213554,0.71445421213554
"cdk1","brown",0.697752871783004,0.697752871783004
"fancd2","brown",0.691887330702571,0.691887330702571
"cdkn2a","brown",0.633209651207511,0.633209651207511
"msh6","brown",0.628647602070102,0.628647602070102
"e2f7","brown",0.602333154835323,0.602333154835323
"rad51","brown",0.585229826905803,0.585229826905803
"chek2","brown",0.577865645924188,0.577865645924188
"rbl1","brown",0.575534635689541,0.575534635689541
"srd5a1","brown",0.545638327669315,0.545638327669315
"cdk2","brown",0.541846838098441,0.541846838098441
"mmp12","brown",0.537814376469389,0.537814376469389
"ccnb1","brown",0.536775715151579,0.536775715151579
"map2","brown",0.520273366093671,0.520273366093671
"e2f8","brown",0.512727346810576,0.512727346810576
